"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00998,United States (Metropolitan Portion),1,Personal income (thousands of dollars),9319147275,10009774044,10570335588,10986240039,10644483143,11074667528,11742871881,12304432213,12434649034,13098330657,13749801376,14160850146,14874329091,15658029135,16414705018,17509116039,19109347372,19721522641,20914335456
00998,United States (Metropolitan Portion),2,Population (persons) 1,250646689,253256238,255922913,258627316,261210075,263718497,266203368,268774079,271221833,273806191,276413250,278983673,281251455,283172182,284871996,286193652,286656077,287835880,289370890
00998,United States (Metropolitan Portion),3,Per capita personal income (dollars) 2,37180,39524,41303,42479,40751,41994,44112,45780,45847,47838,49744,50759,52886,55295,57621,61179,66663,68517,72275
10180,"Abilene, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4626074,4914261,5173944,5724861,5488615,5787829,6150171,6416566,6596716,7042550,6840205,6745585,6982977,7444071,7896539,8464471,9246325,9614514,10175211
10180,"Abilene, TX (Metropolitan Statistical Area)",2,Population (persons) 1,160761,161389,162023,162508,163888,165680,167102,168296,168689,169942,171666,172344,173029,174118,175288,176883,177831,179665,181591
10180,"Abilene, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,28776,30450,31933,35228,33490,34934,36805,38127,39106,41441,39846,39140,40357,42753,45049,47854,51995,53514,56034
10420,"Akron, OH (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),23617474,24551474,25752899,26977431,26085638,26772180,27986319,28861419,29308703,30554060,31480258,31999528,33213211,34556035,35804941,38154030,41500543,41577694,43932157
10420,"Akron, OH (Metropolitan Statistical Area)",2,Population (persons) 1,702498,702433,703423,703300,703361,703057,703260,702223,703776,705090,704604,703787,704133,703815,703235,701674,696512,697511,698398
10420,"Akron, OH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,33619,34952,36611,38358,37087,38080,39795,41100,41645,43334,44678,45468,47169,49098,50915,54376,59583,59609,62904
10500,"Albany, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4011286,4101968,4271823,4453056,4547666,4675748,4997587,5007993,4950163,5074474,5148474,5207442,5314358,5439642,5673123,6236991,6807350,6816509,7063798
10500,"Albany, GA (Metropolitan Statistical Area)",2,Population (persons) 1,152919,153535,153661,153823,154409,154236,154976,154747,153779,153388,152164,151207,150557,150605,149667,148249,144933,145796,145508
10500,"Albany, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,26231,26717,27800,28949,29452,30316,32247,32362,32190,33083,33835,34439,35298,36119,37905,42071,46969,46754,48546
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2998178,3270997,3421818,3554002,3553514,3693143,3811233,3920700,3971148,4245071,4526077,4743153,5016945,5415982,5655302,6195300,6796107,7069641,7497375
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2,Population (persons) 1,108132,110764,112932,114967,116001,116834,117911,117817,117752,118196,119193,121549,123565,125709,127641,128981,130120,130622,131496
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,27727,29531,30300,30913,30633,31610,32323,33278,33725,35916,37973,39023,40602,43083,44306,48033,52230,54123,57016
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),31541783,33231091,34703367,36766707,37056662,38478206,39880474,41075100,41925141,43250532,45477656,46420368,49061892,50521025,52426109,56438055,60559231,61339927,65111784
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,Population (persons) 1,854604,860365,863068,866282,869361,871597,875353,879327,883745,886838,889735,892531,896842,899192,898361,899724,904824,903595,904682
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,36908,38624,40209,42442,42625,44147,45559,46712,47440,48769,51114,52010,54705,56185,58358,62728,66929,67884,71972
